REF_DATE,GEO,North American Industry Classification System (NAICS),UOM,VALUES
2001-08,Prince Edward Island,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],550.96
2001-08,Nova Scotia,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],580.93
2001-08,New Brunswick,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],608.72
2001-08,Quebec,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],624.73
2001-08,Ontario,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],695.69
2001-08,Manitoba,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],593.16
2001-08,Saskatchewan,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],605.13
2001-08,Alberta,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],679.92
2001-08,British Columbia,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],661.62
2001-08,Yukon,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],714.52
2001-08,Northwest Territories,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],887.30
2001-08,Nunavut,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],864.69
2001-09,Canada,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],660.22
2001-09,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],601.76
2001-09,Prince Edward Island,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],536.31
2001-09,Nova Scotia,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],580.46
2001-09,New Brunswick,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],593.54
2001-09,Quebec,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],624.26
2001-09,Ontario,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],699.31
2001-09,Manitoba,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],589.78
2001-09,Saskatchewan,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],599.53
2001-09,Alberta,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],687.01
2001-09,British Columbia,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],660.41
2001-09,Yukon,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],709.87
2001-09,Northwest Territories,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],876.20
2001-09,Nunavut,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],885.10
2001-10,Canada,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],661.25
2001-10,Newfoundland and Labrador,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],598.36
2001-10,Prince Edward Island,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],537.93
2001-10,Nova Scotia,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],585.46
2001-10,New Brunswick,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],593.03
2001-10,Quebec,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],624.77
2001-10,Ontario,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],697.67
2001-10,Manitoba,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],588.66
2001-10,Saskatchewan,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],602.61
2001-10,Alberta,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],687.69
